alpha,lib_cut,max_iter,tol,performance_score
0.01,0.0,20.0,1e-05,0.21126760563380279
0.01,0.0,20.0,0.001,0.21126760563380279
0.01,0.0,20.0,0.0001,0.21126760563380279
0.01,0.0,20.0,1e-05,0.21126760563380279
0.01,0.0,20.0,1e-06,0.21126760563380279
0.01,0.0,40.0,1e-05,0.21126760563380279
0.01,0.0,40.0,0.001,0.21126760563380279
0.01,0.0,40.0,0.0001,0.21126760563380279
0.01,0.0,40.0,1e-05,0.21126760563380279
0.01,0.0,40.0,1e-06,0.21126760563380279
0.01,0.0,50.0,1e-05,0.21126760563380279
0.01,0.0,50.0,0.001,0.21126760563380279
0.01,0.0,50.0,0.0001,0.21126760563380279
0.01,0.0,50.0,1e-05,0.21126760563380279
0.01,0.0,50.0,1e-06,0.21126760563380279
0.01,0.0,75.0,1e-05,0.21126760563380279
0.01,0.0,75.0,0.001,0.21126760563380279
0.01,0.0,75.0,0.0001,0.21126760563380279
0.01,0.0,75.0,1e-05,0.21126760563380279
0.01,0.0,75.0,1e-06,0.21126760563380279
0.01,0.0,100.0,1e-05,0.21126760563380279
0.01,0.0,100.0,0.001,0.21126760563380279
0.01,0.0,100.0,0.0001,0.21126760563380279
0.01,0.0,100.0,1e-05,0.21126760563380279
0.01,0.0,100.0,1e-06,0.21126760563380279
0.01,0.0,125.0,1e-05,0.21126760563380279
0.01,0.0,125.0,0.001,0.21126760563380279
0.01,0.0,125.0,0.0001,0.21126760563380279
0.01,0.0,125.0,1e-05,0.21126760563380279
0.01,0.0,125.0,1e-06,0.21126760563380279
0.01,0.0,150.0,1e-05,0.21126760563380279
0.01,0.0,150.0,0.001,0.21126760563380279
0.01,0.0,150.0,0.0001,0.21126760563380279
0.01,0.0,150.0,1e-05,0.21126760563380279
0.01,0.0,150.0,1e-06,0.21126760563380279
0.01,0.0,175.0,1e-05,0.21126760563380279
0.01,0.0,175.0,0.001,0.21126760563380279
0.01,0.0,175.0,0.0001,0.21126760563380279
0.01,0.0,175.0,1e-05,0.21126760563380279
0.01,0.0,175.0,1e-06,0.21126760563380279
0.01,0.0,200.0,1e-05,0.21126760563380279
0.01,0.0,200.0,0.001,0.21126760563380279
0.01,0.0,200.0,0.0001,0.21126760563380279
0.01,0.0,200.0,1e-05,0.21126760563380279
0.01,0.0,200.0,1e-06,0.21126760563380279
0.01,10.0,20.0,1e-05,0.21126760563380279
0.01,10.0,20.0,0.001,0.21126760563380279
0.01,10.0,20.0,0.0001,0.21126760563380279
0.01,10.0,20.0,1e-05,0.21126760563380279
0.01,10.0,20.0,1e-06,0.21126760563380279
0.01,10.0,40.0,1e-05,0.21126760563380279
0.01,10.0,40.0,0.001,0.21126760563380279
0.01,10.0,40.0,0.0001,0.21126760563380279
0.01,10.0,40.0,1e-05,0.21126760563380279
0.01,10.0,40.0,1e-06,0.21126760563380279
0.01,10.0,50.0,1e-05,0.21126760563380279
0.01,10.0,50.0,0.001,0.21126760563380279
0.01,10.0,50.0,0.0001,0.21126760563380279
0.01,10.0,50.0,1e-05,0.21126760563380279
0.01,10.0,50.0,1e-06,0.21126760563380279
0.01,10.0,75.0,1e-05,0.21126760563380279
0.01,10.0,75.0,0.001,0.21126760563380279
0.01,10.0,75.0,0.0001,0.21126760563380279
0.01,10.0,75.0,1e-05,0.21126760563380279
0.01,10.0,75.0,1e-06,0.21126760563380279
0.01,10.0,100.0,1e-05,0.21126760563380279
0.01,10.0,100.0,0.001,0.21126760563380279
0.01,10.0,100.0,0.0001,0.21126760563380279
0.01,10.0,100.0,1e-05,0.21126760563380279
