p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
fdr	90	TRUE	1e-06	200	FALSE	0.04	0.8944	0.290322580645161
BY	40	FALSE	1e-06	50	TRUE	0.03	0.9008	0.205128205128205
holm	70	TRUE	1e-05	150	TRUE	0.07	0.9024	0.175675675675676
holm	20	TRUE	1e-04	175	TRUE	0.08	0.9024	0.175675675675676
holm	100	FALSE	1e-06	150	TRUE	0.09	0.9024	0.175675675675676
bonferroni	100	TRUE	1e-04	75	FALSE	0.09	0.9008	0.194805194805195
bonferroni	20	TRUE	0.001	100	FALSE	0.03	0.9008	0.194805194805195
fdr	20	FALSE	1e-05	50	FALSE	0.08	0.896	0.308510638297872
BH	40	FALSE	1e-04	100	FALSE	0.07	0.8944	0.290322580645161
holm	90	FALSE	1e-04	200	FALSE	0.02	0.9008	0.205128205128205
hommel	20	FALSE	1e-04	125	TRUE	0.1	0.9016	0.174496644295302
hochberg	30	FALSE	1e-05	75	FALSE	0.03	0.9008	0.205128205128205
fdr	90	FALSE	0.001	100	TRUE	0.01	0.8928	0.229885057471264
hochberg	0	FALSE	1e-06	50	FALSE	0.1	0.9008	0.205128205128205
holm	70	FALSE	1e-06	50	FALSE	0.07	0.9008	0.205128205128205
bonferroni	80	TRUE	0.001	200	TRUE	0.02	0.9024	0.175675675675676
hommel	10	FALSE	0.001	150	TRUE	0.09	0.9016	0.174496644295302
hochberg	40	TRUE	1e-04	75	TRUE	0.07	0.9024	0.175675675675676
BY	40	FALSE	0.001	50	TRUE	0.1	0.9008	0.205128205128205
bonferroni	0	TRUE	1e-06	100	FALSE	0.05	0.9008	0.194805194805195
bonferroni	30	TRUE	1e-05	50	FALSE	0.02	0.9008	0.194805194805195
hommel	60	TRUE	1e-05	200	FALSE	0.02	0.9008	0.205128205128205
holm	80	TRUE	1e-06	150	TRUE	0.02	0.9024	0.175675675675676
hochberg	100	TRUE	1e-05	50	TRUE	0.07	0.9016	0.174496644295302
fdr	0	TRUE	1e-05	150	TRUE	0.08	0.8928	0.229885057471264
fdr	20	FALSE	1e-04	75	FALSE	0.09	0.8944	0.290322580645161
hommel	50	FALSE	1e-06	150	TRUE	0.03	0.9016	0.174496644295302
hochberg	80	TRUE	1e-04	75	FALSE	0.09	0.9008	0.205128205128205
fdr	50	FALSE	1e-04	100	FALSE	0.07	0.8944	0.290322580645161
BY	40	TRUE	1e-06	125	TRUE	0.1	0.9008	0.205128205128205
BY	50	TRUE	1e-06	75	TRUE	0.09	0.9008	0.205128205128205
holm	20	FALSE	1e-05	50	TRUE	0.05	0.9016	0.174496644295302
fdr	40	TRUE	0.001	200	TRUE	0.1	0.8928	0.229885057471264
BY	50	TRUE	0.001	100	TRUE	0.09	0.9008	0.205128205128205
hochberg	80	FALSE	0.001	200	TRUE	0.01	0.9016	0.174496644295302
BY	50	FALSE	1e-04	125	TRUE	0.02	0.9008	0.205128205128205
hommel	50	TRUE	0.001	100	FALSE	0.04	0.9008	0.205128205128205
hochberg	0	TRUE	1e-05	50	FALSE	0.01	0.9008	0.205128205128205
fdr	60	TRUE	1e-04	175	TRUE	0.09	0.8928	0.229885057471264
hochberg	30	TRUE	1e-05	125	FALSE	0.1	0.9008	0.205128205128205
BY	10	FALSE	1e-04	200	TRUE	0.07	0.9008	0.205128205128205
BY	100	TRUE	1e-04	150	TRUE	0.07	0.9008	0.205128205128205
fdr	90	FALSE	1e-05	150	FALSE	0.09	0.8944	0.290322580645161
BY	50	TRUE	1e-05	100	FALSE	0.01	0.8976	0.209876543209877
BH	90	TRUE	0.001	100	FALSE	0.02	0.8944	0.290322580645161
hochberg	0	TRUE	1e-04	150	FALSE	0.07	0.9008	0.205128205128205
hochberg	90	FALSE	1e-05	75	TRUE	0.05	0.9024	0.175675675675676
BY	50	TRUE	1e-06	75	TRUE	0.05	0.9008	0.205128205128205
bonferroni	90	TRUE	1e-04	200	FALSE	0.06	0.9008	0.194805194805195
holm	70	FALSE	1e-04	175	FALSE	0.03	0.9008	0.205128205128205
fdr	10	FALSE	1e-04	100	FALSE	0.07	0.8944	0.290322580645161
BH	40	FALSE	1e-05	150	TRUE	0.02	0.8928	0.229885057471264
bonferroni	40	FALSE	1e-06	200	FALSE	0.02	0.9008	0.194805194805195
fdr	30	FALSE	1e-05	75	FALSE	0.1	0.8944	0.290322580645161
hommel	60	TRUE	1e-06	200	TRUE	0.03	0.9016	0.174496644295302
fdr	90	FALSE	1e-04	125	FALSE	0.03	0.8944	0.290322580645161
hochberg	30	FALSE	1e-06	50	TRUE	0.06	0.9016	0.174496644295302
BH	10	FALSE	1e-06	200	TRUE	0.09	0.8928	0.229885057471264
BH	100	TRUE	1e-05	150	FALSE	0.02	0.8944	0.290322580645161
bonferroni	0	TRUE	1e-04	75	FALSE	0.06	0.9008	0.194805194805195
hommel	60	FALSE	1e-04	75	TRUE	0.08	0.9016	0.174496644295302
BY	80	TRUE	1e-05	175	FALSE	0.03	0.8976	0.209876543209877
holm	90	FALSE	0.001	75	TRUE	0.1	0.9024	0.175675675675676
bonferroni	50	FALSE	1e-05	175	TRUE	0.02	0.9024	0.175675675675676
bonferroni	20	TRUE	0.001	125	FALSE	0.05	0.9008	0.194805194805195
hommel	70	TRUE	1e-06	175	TRUE	0.05	0.9016	0.174496644295302
hochberg	60	FALSE	1e-05	75	TRUE	0.03	0.9024	0.175675675675676
hochberg	70	TRUE	0.001	175	FALSE	0.09	0.9008	0.205128205128205
bonferroni	10	FALSE	0.001	150	TRUE	0.1	0.9024	0.175675675675676
BY	0	TRUE	1e-06	125	TRUE	0.06	0.9008	0.205128205128205
fdr	70	TRUE	1e-04	175	TRUE	0.05	0.8928	0.229885057471264
hochberg	20	TRUE	0.001	150	TRUE	0.02	0.9016	0.174496644295302
holm	60	TRUE	0.001	75	FALSE	0.06	0.9008	0.205128205128205
BY	60	FALSE	1e-06	50	FALSE	0.01	0.8976	0.209876543209877
hochberg	50	TRUE	1e-06	200	FALSE	0.01	0.9008	0.205128205128205
hochberg	50	FALSE	0.001	50	FALSE	0.07	0.9008	0.205128205128205
hommel	30	FALSE	1e-04	100	FALSE	0.03	0.9008	0.205128205128205
