method	recall	precision	fpr	fdr	F1
ANCOM-BC	0.14	0.518518518518518	0.0144444444444444	0.481481481481481	0.220472440944882
ANCOM-BC	0.075	0.384615384615385	0.0133333333333333	0.615384615384615	0.125523012552301
ANCOM-BC	0.0733333333333333	0.44	0.0103703703703704	0.56	0.125714285714286
ANCOM-BC	0.0325	0.342105263157895	0.00694444444444444	0.657894736842105	0.0593607305936073
ANCOM-BC	0.03	0.319148936170213	0.00711111111111111	0.680851063829787	0.0548446069469835
ANCOM-BC	0.0366666666666667	0.379310344827586	0.00666666666666667	0.620689655172414	0.0668693009118541
ANCOM-BC	0.0371428571428571	0.481481481481481	0.00444444444444444	0.518518518518518	0.0689655172413793
ANCOM-BC	0.01875	0.348837209302326	0.00388888888888889	0.651162790697674	0.0355871886120996
ANCOM-BC	0.0277777777777778	0.384615384615385	0.00493827160493827	0.615384615384615	0.0518134715025907
ANCOM-BC	0.024	0.406779661016949	0.00388888888888889	0.593220338983051	0.0453257790368272
ANCOM-BC	0.0190909090909091	0.4375	0.00272727272727273	0.5625	0.0365853658536585
ANCOM-BC	0.0191666666666667	0.469387755102041	0.00240740740740741	0.530612244897959	0.0368294635708567
ANCOM-BC	0.00769230769230769	0.263157894736842	0.00239316239316239	0.736842105263158	0.0149476831091181
