method	recall	precision	fpr	fdr	F1
ANCOM-BC	0.11	0.5	0.0122222222222222	0.5	0.180327868852459
ANCOM-BC	0.09	0.36734693877551	0.0172222222222222	0.63265306122449	0.144578313253012
ANCOM-BC	0.0233333333333333	0.225806451612903	0.00888888888888889	0.774193548387097	0.0422960725075529
ANCOM-BC	0.0345679012345679	0.424242424242424	0.00521262002743484	0.575757575757576	0.0639269406392694
ANCOM-BC	0.0509803921568627	0.426229508196721	0.00762527233115468	0.573770491803279	0.0910683012259194
ANCOM-BC	0.0211382113821138	0.52	0.0021680216802168	0.48	0.040625
ANCOM-BC	0.0208333333333333	0.5	0.00231481481481481	0.5	0.04
ANCOM-BC	0.01625	0.40625	0.00263888888888889	0.59375	0.03125
ANCOM-BC	0.0244444444444444	0.360655737704918	0.00481481481481482	0.639344262295082	0.0457856399583767
ANCOM-BC	0.014	0.378378378378378	0.00255555555555556	0.621621621621622	0.0270009643201543
