method	recall	precision	fpr	fdr	F1
ANCOM-BC2	0.03	0.333333333333333	0.00666666666666667	0.666666666666667	0.055045871559633
ANCOM-BC2	0.035	0.466666666666667	0.00444444444444444	0.533333333333333	0.0651162790697674
ANCOM-BC2	0.0233333333333333	0.583333333333333	0.00185185185185185	0.416666666666667	0.0448717948717949
ANCOM-BC2	0.01	0.307692307692308	0.0025	0.692307692307692	0.0193704600484262
ANCOM-BC2	0.014	0.4375	0.002	0.5625	0.0271317829457364
ANCOM-BC2	0.0166666666666667	0.5	0.00185185185185185	0.5	0.032258064516129
ANCOM-BC2	0.0114285714285714	0.470588235294118	0.00142857142857143	0.529411764705882	0.0223152022315202
ANCOM-BC2	0.00625	0.294117647058824	0.00166666666666667	0.705882352941177	0.0122399020807834
ANCOM-BC2	0.00888888888888889	0.5	0.000987654320987654	0.5	0.0174672489082969
ANCOM-BC2	0.01	0.555555555555556	0.000888888888888889	0.444444444444444	0.0196463654223969
ANCOM-BC2	0.00545454545454545	0.4	0.000909090909090909	0.6	0.010762331838565
ANCOM-BC2	0.00583333333333333	0.583333333333333	0.000462962962962963	0.416666666666667	0.0115511551155116
ANCOM-BC2	0.00153846153846154	0.181818181818182	0.000769230769230769	0.818181818181818	0.0030511060259344
