method	recall	precision	fpr	fdr	F1
ANCOM-BC2	0.08	0.727272727272727	0.00333333333333333	0.272727272727273	0.144144144144144
ANCOM-BC2	0.03	0.5	0.00333333333333333	0.5	0.0566037735849057
ANCOM-BC2	0.00666666666666667	0.4	0.00111111111111111	0.6	0.0131147540983607
ANCOM-BC2	0.0172839506172839	0.538461538461538	0.00164609053497942	0.461538461538462	0.0334928229665072
ANCOM-BC2	0.0215686274509804	0.611111111111111	0.00152505446623094	0.388888888888889	0.0416666666666667
ANCOM-BC2	0.0113821138211382	0.7	0.000542005420054201	0.3	0.0224
ANCOM-BC2	0.00694444444444444	0.416666666666667	0.00108024691358025	0.583333333333333	0.0136612021857923
ANCOM-BC2	0.00875	0.583333333333333	0.000694444444444444	0.416666666666667	0.0172413793103448
ANCOM-BC2	0.01	0.473684210526316	0.00123456790123457	0.526315789473684	0.0195865070729053
ANCOM-BC2	0.005	0.357142857142857	0.001	0.642857142857143	0.00986193293885602
