method	recall	precision	fpr	fdr	F1
ANCOM-BC2	0.02	0.333333333333333	0.00210526315789474	0.666666666666667	0.0377358490566038
ANCOM-BC2	0.05	0.714285714285714	0.00105263157894737	0.285714285714286	0.0934579439252337
ANCOM-BC2	0.0266666666666667	0.4	0.00210526315789474	0.6	0.05
ANCOM-BC2	0.0099009900990099	0.222222222222222	0.00181912681912682	0.777777777777778	0.018957345971564
ANCOM-BC2	0.00392156862745098	0.125	0.00144478844169247	0.875	0.00760456273764259
ANCOM-BC2	0.012987012987013	0.266666666666667	0.00188291680931188	0.733333333333333	0.0247678018575851
ANCOM-BC2	0.00277777777777778	0.333333333333333	0.000292397660818713	0.666666666666667	0.00550964187327824
ANCOM-BC2	0.0125	0.416666666666667	0.000921052631578947	0.583333333333333	0.0242718446601942
ANCOM-BC2	0.00444444444444444	0.222222222222222	0.000818713450292398	0.777777777777778	0.00871459694989107
ANCOM-BC2	0.004	0.4	0.000315789473684211	0.6	0.00792079207920792
