method	recall	precision	fpr	fdr	F1
ANCOM-BC	0.12	0.545454545454545	0.00526315789473684	0.454545454545455	0.19672131147541
ANCOM-BC	0.08	0.5	0.00421052631578947	0.5	0.137931034482759
ANCOM-BC	0.0466666666666667	0.388888888888889	0.00385964912280702	0.611111111111111	0.0833333333333333
ANCOM-BC	0.0297029702970297	0.375	0.0025987525987526	0.625	0.055045871559633
ANCOM-BC	0.0117647058823529	0.176470588235294	0.00288957688338493	0.823529411764706	0.0220588235294118
ANCOM-BC	0.0357142857142857	0.34375	0.00359465936323177	0.65625	0.0647058823529412
ANCOM-BC	0.0111111111111111	0.222222222222222	0.00204678362573099	0.777777777777778	0.0211640211640212
ANCOM-BC	0.0125	0.263157894736842	0.00184210526315789	0.736842105263158	0.0238663484486874
ANCOM-BC	0.0133333333333333	0.24	0.00222222222222222	0.76	0.0252631578947368
ANCOM-BC	0.006	0.214285714285714	0.00115789473684211	0.785714285714286	0.0116731517509728
