method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.47	0.419642857142857	0.0722222222222222	0.580357142857143	0.443396226415094	0
FlashWeave	0.29	0.446153846153846	0.04	0.553846153846154	0.351515151515152	0
FlashWeave	0.106666666666667	0.477611940298507	0.012962962962963	0.522388059701492	0.174386920980926	0
FlashWeave	0.160493827160494	0.488721804511278	0.0186556927297668	0.511278195488722	0.241635687732342	0
FlashWeave	0.149019607843137	0.424581005586592	0.0224400871459695	0.575418994413408	0.220609579100145	0
FlashWeave	0.0650406504065041	0.384615384615385	0.0115627822944896	0.615384615384615	0.111265646731572	0
FlashWeave	0.0819444444444444	0.561904761904762	0.00709876543209877	0.438095238095238	0.143030303030303	0
FlashWeave	0.05	0.5	0.00555555555555556	0.5	0.0909090909090909	0
FlashWeave	0.0677777777777778	0.462121212121212	0.00876543209876543	0.537878787878788	0.118217054263566	0
FlashWeave	0.056	0.4	0.00933333333333333	0.6	0.0982456140350877	0
