method	recall	precision	fpr	fdr	F1
FlashWeave	0.49	0.429824561403509	0.0722222222222222	0.570175438596491	0.457943925233645
FlashWeave	0.285	0.448818897637795	0.0388888888888889	0.551181102362205	0.348623853211009
FlashWeave	0.106666666666667	0.444444444444444	0.0148148148148148	0.555555555555556	0.172043010752688
FlashWeave	0.17037037037037	0.48936170212766	0.0197530864197531	0.51063829787234	0.252747252747253
FlashWeave	0.149019607843137	0.424581005586592	0.0224400871459695	0.575418994413408	0.220609579100145
FlashWeave	0.0682926829268293	0.407766990291262	0.0110207768744354	0.592233009708738	0.116991643454039
FlashWeave	0.0819444444444444	0.561904761904762	0.00709876543209877	0.438095238095238	0.143030303030303
FlashWeave	0.055	0.517647058823529	0.00569444444444444	0.482352941176471	0.0994350282485876
FlashWeave	0.07	0.431506849315068	0.0102469135802469	0.568493150684932	0.120458891013384
FlashWeave	0.056	0.391608391608392	0.00966666666666667	0.608391608391608	0.0979877515310586
