method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.608333333333333	0.284046692607004	0.17037037037037	0.715953307392996	0.387267904509284	0
FlashWeave	0.512	0.414239482200647	0.0804444444444444	0.585760517799353	0.457960644007156	0
FlashWeave	0.376666666666667	0.416974169741697	0.0585185185185185	0.583025830258303	0.395796847635727	0
FlashWeave	0.257777777777778	0.426470588235294	0.0385185185185185	0.573529411764706	0.321329639889197	0
FlashWeave	0.2	0.398550724637681	0.0335353535353535	0.601449275362319	0.26634382566586	0
FlashWeave	0.178461538461538	0.401384083044983	0.0295726495726496	0.598615916955017	0.247071352502662	0
FlashWeave	0.174666666666667	0.459649122807018	0.0228148148148148	0.540350877192982	0.253140096618357	0
FlashWeave	0.158333333333333	0.436065573770492	0.0227513227513228	0.563934426229508	0.232314410480349	0
FlashWeave	0.134736842105263	0.418300653594771	0.0208187134502924	0.581699346405229	0.203821656050955	0
FlashWeave	0.0990909090909091	0.393501805054152	0.016969696969697	0.606498194945848	0.158315177923021	0
FlashWeave	0.101666666666667	0.423611111111111	0.0153703703703704	0.576388888888889	0.163978494623656	0
FlashWeave	0.0969230769230769	0.440559440559441	0.0136752136752137	0.559440559440559	0.158890290037831	0
FlashWeave	0.0807142857142857	0.405017921146953	0.0131746031746032	0.594982078853047	0.134603930911257	0
FlashWeave	0.0806666666666667	0.438405797101449	0.0114814814814815	0.561594202898551	0.136261261261261	0
FlashWeave	0.073125	0.434944237918216	0.0105555555555556	0.565055762081784	0.125200642054575	0
FlashWeave	0.0682352941176471	0.432835820895522	0.00993464052287582	0.567164179104478	0.117886178861789	0
