method	recall	precision	fpr	fdr	F1
FlashWeave	0.58	0.394557823129252	0.0988888888888889	0.605442176870748	0.469635627530364
FlashWeave	0.35	0.388888888888889	0.0611111111111111	0.611111111111111	0.368421052631579
FlashWeave	0.283333333333333	0.37117903930131	0.0533333333333333	0.62882096069869	0.321361058601134
FlashWeave	0.22	0.458333333333333	0.0288888888888889	0.541666666666667	0.297297297297297
FlashWeave	0.196	0.417021276595745	0.0304444444444444	0.582978723404255	0.266666666666667
FlashWeave	0.175	0.443037974683544	0.0244444444444444	0.556962025316456	0.25089605734767
FlashWeave	0.135714285714286	0.465686274509804	0.0173015873015873	0.534313725490196	0.210176991150442
FlashWeave	0.12625	0.446902654867257	0.0173611111111111	0.553097345132743	0.196881091617934
FlashWeave	0.105555555555556	0.43778801843318	0.0150617283950617	0.56221198156682	0.170098478066249
FlashWeave	0.101	0.435344827586207	0.0145555555555556	0.564655172413793	0.163961038961039
FlashWeave	0.0836363636363636	0.418181818181818	0.0129292929292929	0.581818181818182	0.139393939393939
FlashWeave	0.0841666666666667	0.450892857142857	0.0113888888888889	0.549107142857143	0.14185393258427
FlashWeave	0.0653846153846154	0.374449339207048	0.0121367521367521	0.625550660792952	0.111329404060249
