method3	recall3	precision3	fpr3	fdr3	F13
FlashWeave	0.64	0.369942196531792	0.121111111111111	0.630057803468208	0.468864468864469
FlashWeave	0.375	0.449101796407186	0.0511111111111111	0.550898203592814	0.408719346049046
FlashWeave	0.19	0.404255319148936	0.0311111111111111	0.595744680851064	0.258503401360544
FlashWeave	0.214814814814815	0.480662983425414	0.0257887517146776	0.519337016574586	0.296928327645051
FlashWeave	0.164705882352941	0.428571428571429	0.024400871459695	0.571428571428571	0.237960339943343
FlashWeave	0.0959349593495935	0.401360544217687	0.0158988256549232	0.598639455782313	0.154855643044619
FlashWeave	0.0972222222222222	0.454545454545455	0.012962962962963	0.545454545454545	0.160183066361556
FlashWeave	0.08375	0.440789473684211	0.0118055555555556	0.559210526315789	0.140756302521008
FlashWeave	0.0866666666666667	0.419354838709677	0.0133333333333333	0.580645161290323	0.143646408839779
FlashWeave	0.068	0.384180790960452	0.0121111111111111	0.615819209039548	0.115548003398471
