method	recall	precision	fpr	fdr	F1
FlashWeave	0.48	0.218181818181818	0.0905263157894737	0.781818181818182	0.3
FlashWeave	0.31	0.244094488188976	0.0505263157894737	0.755905511811024	0.273127753303965
FlashWeave	0.206666666666667	0.244094488188976	0.0336842105263158	0.755905511811024	0.223826714801444
FlashWeave	0.148514851485149	0.263157894736842	0.0218295218295218	0.736842105263158	0.189873417721519
FlashWeave	0.101960784313725	0.216666666666667	0.0194014447884417	0.783333333333333	0.138666666666667
FlashWeave	0.123376623376623	0.294573643410853	0.015576857240671	0.705426356589147	0.173913043478261
FlashWeave	0.0861111111111111	0.22962962962963	0.0152046783625731	0.77037037037037	0.125252525252525
FlashWeave	0.0875	0.259259259259259	0.0131578947368421	0.740740740740741	0.130841121495327
FlashWeave	0.0822222222222222	0.28030303030303	0.0111111111111111	0.71969696969697	0.127147766323024
FlashWeave	0.076	0.263888888888889	0.0111578947368421	0.736111111111111	0.118012422360248
