method	recall	precision	fpr	fdr	F1
FlashWeave	0.608333333333333	0.282945736434109	0.171296296296296	0.717054263565892	0.386243386243386
FlashWeave	0.512	0.414239482200647	0.0804444444444444	0.585760517799353	0.457960644007156
FlashWeave	0.383333333333333	0.410714285714286	0.0611111111111111	0.589285714285714	0.396551724137931
FlashWeave	0.26	0.416370106761566	0.0404938271604938	0.583629893238434	0.320109439124487
FlashWeave	0.201818181818182	0.40072202166065	0.0335353535353535	0.59927797833935	0.268440145102781
FlashWeave	0.181538461538462	0.401360544217687	0.0300854700854701	0.598639455782313	0.25
FlashWeave	0.177333333333333	0.458620689655172	0.0232592592592593	0.541379310344828	0.255769230769231
FlashWeave	0.158333333333333	0.436065573770492	0.0227513227513228	0.563934426229508	0.232314410480349
FlashWeave	0.134736842105263	0.416938110749186	0.0209356725146199	0.583061889250814	0.203659506762132
FlashWeave	0.1	0.392857142857143	0.0171717171717172	0.607142857142857	0.159420289855072
FlashWeave	0.101666666666667	0.416382252559727	0.0158333333333333	0.583617747440273	0.163429336905559
FlashWeave	0.0969230769230769	0.431506849315068	0.0141880341880342	0.568493150684932	0.158291457286432
FlashWeave	0.0807142857142857	0.405017921146953	0.0131746031746032	0.594982078853047	0.134603930911257
FlashWeave	0.0806666666666667	0.433691756272401	0.0117037037037037	0.566308243727599	0.136031478358628
FlashWeave	0.07375	0.435424354243542	0.010625	0.564575645756458	0.126135756280064
FlashWeave	0.0688235294117647	0.427007299270073	0.0102614379084967	0.572992700729927	0.11854103343465
