method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.67	0.322115384615385	0.156666666666667	0.677884615384615	0.435064935064935	0
FlashWeave	0.42	0.388888888888889	0.0733333333333333	0.611111111111111	0.403846153846154	0
FlashWeave	0.306666666666667	0.378600823045267	0.0559259259259259	0.621399176954732	0.338858195211786	0
FlashWeave	0.2275	0.425233644859813	0.0341666666666667	0.574766355140187	0.296416938110749	0
FlashWeave	0.206	0.415322580645161	0.0322222222222222	0.584677419354839	0.275401069518717	0
FlashWeave	0.178333333333333	0.436734693877551	0.0255555555555556	0.563265306122449	0.253254437869822	0
FlashWeave	0.137142857142857	0.444444444444444	0.019047619047619	0.555555555555556	0.209606986899563	0
FlashWeave	0.1325	0.443514644351464	0.0184722222222222	0.556485355648536	0.204042348411935	0
FlashWeave	0.107777777777778	0.423580786026201	0.0162962962962963	0.576419213973799	0.171833480956599	0
FlashWeave	0.104	0.419354838709677	0.016	0.580645161290323	0.166666666666667	0
FlashWeave	0.09	0.424892703862661	0.0135353535353535	0.575107296137339	0.148537134283571	0
FlashWeave	0.0925	0.442231075697211	0.012962962962963	0.557768924302789	0.152997932460372	0
FlashWeave	0.0692307692307692	0.36144578313253	0.0135897435897436	0.63855421686747	0.116204002582311	0
