method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.64	0.349726775956284	0.132222222222222	0.650273224043716	0.452296819787986	0
FlashWeave	0.395	0.448863636363636	0.0538888888888889	0.551136363636364	0.420212765957447	0
FlashWeave	0.226666666666667	0.402366863905325	0.0374074074074074	0.597633136094675	0.28997867803838	0
FlashWeave	0.224691358024691	0.476439790575916	0.0274348422496571	0.523560209424084	0.305369127516779	0
FlashWeave	0.164705882352941	0.426395939086294	0.0246187363834423	0.573604060913706	0.237623762376238	0
FlashWeave	0.100813008130081	0.394904458598726	0.017163504968383	0.605095541401274	0.160621761658031	0
FlashWeave	0.1	0.45	0.0135802469135802	0.55	0.163636363636364	0
FlashWeave	0.0925	0.427745664739884	0.01375	0.572254335260116	0.152106885919836	0
FlashWeave	0.09	0.421875	0.0137037037037037	0.578125	0.148351648351648	0
FlashWeave	0.068	0.379888268156425	0.0123333333333333	0.620111731843575	0.115351993214589	0
