method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC	0.308333333333333	0.451219512195122	0.0416666666666667	0.548780487804878	0.366336633663366	0
ANCOM-BC	0.286666666666667	0.438775510204082	0.0407407407407407	0.561224489795918	0.346774193548387	0
ANCOM-BC	0.225	0.394736842105263	0.0383333333333333	0.605263157894737	0.286624203821656	0
ANCOM-BC	0.224	0.35	0.0462222222222222	0.65	0.273170731707317	0
ANCOM-BC	0.26	0.423913043478261	0.0392592592592593	0.576086956521739	0.322314049586777	0
ANCOM-BC	0.248571428571429	0.33984375	0.0536507936507937	0.66015625	0.287128712871287	0
ANCOM-BC	0.24	0.412017167381974	0.0380555555555556	0.587982832618026	0.303317535545024	0
ANCOM-BC	0.244444444444444	0.3886925795053	0.0427160493827161	0.6113074204947	0.300136425648022	0
ANCOM-BC	0.196	0.393574297188755	0.0335555555555556	0.606425702811245	0.261682242990654	0
ANCOM-BC	0.192592592592593	0.409448818897638	0.0308641975308642	0.590551181102362	0.261964735516373	0
