method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.216666666666667	0.684210526315789	0.0111111111111111	0.315789473684211	0.329113924050633	0
FlashWeave	0.226666666666667	0.641509433962264	0.0140740740740741	0.358490566037736	0.334975369458128	0
FlashWeave	0.19	0.678571428571429	0.01	0.321428571428571	0.296875	0
FlashWeave	0.18	0.555555555555556	0.016	0.444444444444444	0.27190332326284	0
FlashWeave	0.15	0.483870967741935	0.0177777777777778	0.516129032258065	0.229007633587786	0
FlashWeave	0.14	0.510416666666667	0.0149206349206349	0.489583333333333	0.219730941704036	0
FlashWeave	0.125	0.549450549450549	0.0113888888888889	0.450549450549451	0.203665987780041	0
FlashWeave	0.1	0.50561797752809	0.0108641975308642	0.49438202247191	0.166975881261596	0
FlashWeave	0.106	0.509615384615385	0.0113333333333333	0.490384615384615	0.175496688741722	0
FlashWeave	0.0981481481481482	0.576086956521739	0.00802469135802469	0.423913043478261	0.167721518987342	0
